threshold,precision,recall,f1
0.5399999999999999,0.8029727677118368,0.8815961882072663,0.8404496933908698
0.5499999999999999,0.8045801526717558,0.878856462179869,0.8400797039567321
0.5599999999999999,0.8119523702538756,0.8609886837403217,0.8357518644851708
0.57,0.8193786811410093,0.8451459201905897,0.8320628591532778
0.58,0.822853120600657,0.835497319833234,0.8291270169631775
0.59,0.8257972394098049,0.8266825491363907,0.8262396571224477
0.6,0.8304587155963302,0.808695652173913,0.8194327097163548
0.61,0.8342033308476261,0.7995235259082787,0.8164953469983578
0.62,0.8366087175610986,0.7910661107802264,0.813200269393253
0.63,0.8405349794238683,0.7785586658725432,0.8083606456001484
0.6399999999999999,0.8472780906409225,0.7527099463966647,0.7971992682772977
0.6499999999999999,0.8489851150202977,0.7473496128648005,0.7949318973709217
0.6599999999999999,0.8542789990322135,0.7360333531864205,0.790760174046583
0.6699999999999999,0.8586757023859947,0.7244788564621799,0.7858896498255589
0.6799999999999999,0.859883473070911,0.7207861822513401,0.7842146189735615
0.69,0.8605748605748605,0.7168552709946396,0.7821679230569275
0.7,0.8701843801529006,0.6914830256104825,0.7706093189964157
0.71,0.8737745098039216,0.6794520547945205,0.7644575487502513
0.72,0.8783227848101266,0.6612269207861823,0.7544682296975875
0.73,0.8816731770833334,0.6452650387135199,0.7451681683747163
0.74,0.8842368640533779,0.6314472900536033,0.7367616400277971
0.7499999999999999,0.8883435582822086,0.6036926742108398,0.7188652482269503
0.7599999999999999,0.8907064533525076,0.5902322811197142,0.7099871041696518
0.7699999999999999,0.8950224550898204,0.5697438951756998,0.6962661037921246
0.7799999999999999,0.9038231780167264,0.5406789755807028,0.6766043079675039
0.7899999999999999,0.9069241832751181,0.5257891602144134,0.6656612878902126
0.7999999999999999,0.9105445116681071,0.5019654556283502,0.6471627121247024
0.8099999999999999,0.9138660137992433,0.4891006551518761,0.6371818746120422
0.82,0.9247204968944099,0.4433591423466349,0.5993558776167471
0.83,0.9312956451176629,0.4101250744490768,0.5694674164737016
0.84,0.9352538505419281,0.39058963668850505,0.5510461305772624
0.8499999999999999,0.9424261083743842,0.36462179868969624,0.5258094992699476
0.8599999999999999,0.946843853820598,0.33948779035139964,0.4997807978956598
0.8699999999999999,0.9503897944720057,0.31947587849910664,0.4782027280021396
0.8799999999999999,0.9533756061171205,0.3044669446098868,0.46153846153846156
0.8899999999999999,0.9577333952624245,0.2456223942823109,0.39097459233978005
0.8999999999999999,0.9619852164730729,0.21703394877903515,0.35416464185052
0.9099999999999999,0.9709263015551048,0.1710541989279333,0.29086489771116064
0.9199999999999999,0.9673278879813302,0.09874925550923168,0.1792044963251189
0.9299999999999999,0.9686274509803922,0.0882668254913639,0.16179039301310044
0.94,0.9730134932533733,0.07730792138177486,0.1432354888545575
0.95,0.9815573770491803,0.057057772483621205,0.10784644827198019
